,title,url,publication_date,summary,source_id,category_id,author_id,source_type
10,TSE juramenta las Juntas Electorales Departamentales para elecciones de 2024,https://www.contrapunto.com.sv/tse-juramenta-las-juntas-electorales-departamentales-para-elecciones-de-2024/,2023-10-16T18:33:58-06:00,TSE de El Salvador realizó la juramentación de las 14 Juntas Electorales Departamentales (JED) que supervisarán el proceso electoral en cada departamento del país durante las elecciones generales de 2024. ,Diario Digital Contra Punto,Elecciones El Salvador,,Web Page
11,TSE emite prevenciones a inscripción de candidato Presidencial del FMLN,https://www.contrapunto.com.sv/tse-emite-prevenciones-a-inscripcion-de-candidato-presidencial-del-fmln/,2023-10-12T18:01:26-06:00,"Candidato del FMLN, Manuel ""El Chino"" Flores, recibe prevenciones del TSE por solicitud de inscripción para elecciones 2024.",Diario Digital Contra Punto,Elecciones El Salvador,,Web Page
12,"Nayib Bukele deberá dejar la presidencia el 1 de diciembre según Noel Orellana, magistrado del TSE",https://www.contrapunto.com.sv/nayib-bukele-debera-dejar-la-presidencia-el-1-de-diciembre-segun-noel-orellana-magistrado-del-tse/,2023-11-11T18:14:16-06:00,"Nayib Bukele deberá dejar la presidencia el 1 de diciembre para participar en elecciones de 2024, así lo explico el magistrado del TSE, Noel Orellana. ",Diario Digital Contra Punto,Elecciones El Salvador,,Web Page
13,ARENA solicita al TSE anular la inscripción de candidatura de Nayib Bukele,https://www.contrapunto.com.sv/arena-solicita-al-tse-anular-la-inscripcion-de-candidatura-de-nayib-bukele/,2023-11-07T16:26:21-06:00,ARENA pidió al TSE anular candidatura presidencial de Nayib Bukele tras su aprobación con 4 votos a favor del ente colegiado.,Diario Digital Contra Punto,Elecciones El Salvador,,Web Page
14,"Magistrado del TSE, Guillermo Wellman, afirma que inscripción de candidatura de Bukele cumple requisitos legales",https://www.contrapunto.com.sv/magistrado-del-tse-guillermo-wellman-afirma-que-inscripcion-de-candidatura-de-bukele-cumple-requisitos-legales/,2023-11-06T13:51:24-06:00,"""La inscripción (del presidente Bukele) está en los parámetros legales, está en lo de ley. Este Organismo Colegiado ha actuado conforme a la ley"": magistrado del TSE, Guillermo Wellman.",Diario Digital Contra Punto,Elecciones El Salvador,,Web Page
15,Jurado de la 72ª Edición de MISS UNIVERSO es anunciado,https://www.contrapunto.com.sv/jurado-de-la-72a-edicion-de-miss-universo-es-anunciado/,2023-11-13T17:45:44-06:00,"La Organización Miss Universo anuncia los miembros del Comité de Selección para la 72ª Edición Anual del concurso MISS UNIVERSO, que se llevará a cabo el 18 de noviembre en San Salvador.",Diario Digital Contra Punto,Internacionales,,Web Page
16,El 3% de los salvadoreños perciben aumento de criminalidad en el país,https://www.contrapunto.com.sv/el-3-de-los-salvadorenos-perciben-aumento-de-criminalidad-en-el-pais/,2023-11-09T20:02:17-06:00,Según los datos más recientes de la encuesta realizada por CID Gallup en septiembre de 2023 El Salvador destaca como el país con la menor percepción de aumento de la criminalidad.,Diario Digital Contra Punto,Internacionales,,Web Page
17,"Capturan en México a Elmer Canales Rivera, alias “Crook” cabecilla de la MS-13, y es extraditado a EE.UU.",https://www.contrapunto.com.sv/capturan-en-mexico-a-elmer-canales-rivera-alias-crook-cabecilla-de-la-ms-13-y-es-extraditado-a-ee-uu/,2023-11-09T16:50:51-06:00,"Élmer Canales Rivera, alias “el Crook”, cabecilla de la MS 13 fue detenido por las autoridades de México y fue extraditado a EE.UU., donde era reclamado por delitos de terrorismo.",Diario Digital Contra Punto,Internacionales,,Web Page
18,Escrito en una servilleta: Los salvadoreños internacionales,https://www.contrapunto.com.sv/escrito-en-una-servilleta-los-salvadorenos-internacionales/,2023-11-14T12:14:07-06:00,"""El caso de los salvadoreños es especial, porque es un grupo que, perversamente, fue forzado a migrar; fue forzado a ser un eterno indocumentado usando como depredadores la pobreza, la represión y la inseguridad"": René Martínez Pineda.",Diario Digital Contra Punto,Opinión,,Web Page
19,"No llores por mí, Argentina",https://www.contrapunto.com.sv/no-llores-por-mi-argentina/,2023-11-12T17:23:59-06:00,,Diario Digital Contra Punto,Opinión,,Web Page
